mover,translateX,translateY,translateZ,rotateX,rotateY,rotateZ,scaleX,scaleY,scaleZ
Mery_ac_rg_suplid02_sg,0.28468279,-0.10220661,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_upLip_01_control,0.05867371,-0.06285715,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_rg_suplid01_sg,0.01232711,0.03363735,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_loLip_04_control,0.11212487,0.21137171,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_lf_nose,0.0,0.42615146,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_lf_lowlid01_sg,-0.11834341,0.24122792,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_upLip_04_control,0.20162404,-0.08885723,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_lf_tinyCorner_control,-0.04479742,0.13123065,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_general_rg_brow,0.0,0.06295254,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_loLip_01_control,-0.12389076,-0.00465234,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_rg_pupila,0.0,-0.13873858,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_rg_stickyLips_control,0.0,0.71215813,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_rg_nose,0.0,0.44682394,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_lf_iris,0.0,0.12846364,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_loLip_02_control,-0.25557759,0.21013314,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_rg_tinyCorner_control,-0.2976428,0.20721758,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_lf_cheekbone,0.0,0.69535294,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_rg_lowlid02_sg,-0.08673576,0.07105575,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_lf_moflete,0.0,0.0723525,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mery_ac_rg_inffLid_move_sg,0.03071819,0.50671673,0.0,0.0,0.0,9.7381348,1.0,1.0,1.0
